# ----------------------------------------
# All Mobile App Data
# Top Events
# 20170201-20170531
# ----------------------------------------

Event Label,Customer User Id,Total Events,Unique Events,Event Value,Avg. Value
'Government may cross Rs 45.5K crore divestment target this fiscal',5477301,159,79,0,0.00
$1.3 trillion housing boom set to be India's next growth driver,3583462,159,79,0,0.00
100 days after note ban: E-payments off peak,450634,159,79,0,0.00
"After Aircel-Maxis case, ED says don't want three-legged race",3686996,159,79,0,0.00
Baahubali 2: SS Rajamouli film might not release in Karnataka if Kattappa doesnt apologise?,546192,159,79,0,0.00
CBEC asks tax officers to speed up GST migration,5777743,159,79,0,0.00
Companies can avail up to 40 per cent GST Credit for excise already paid on stocks,4924127,159,79,0,0.00
Consumer loan demand is back and credit quality too is good: Transunion Cibil,6075049,159,79,0,0.00
"Finance Ministry says no to Apples tax incentives demand, but it isnt the end of road for Apple",5710757,159,79,0,0.00
Government creates pulses buffer stock of 10 lakh tonnes so far,2149980,159,79,0,0.00
"India, Russia plan Free Trade Agreement in Eurasian region",6812411,159,159,0,0.00
Jharkhand attracts over Rs 3.1 lakh crore worth of investment,5275603,159,79,0,0.00
Might have to wait for Sunny days even as SBI Composite Index improves in February,5018375,159,79,0,0.00
Modi government plans major policy push to promote e-vehicles,4385016,159,79,0,0.00
Planning to buy a phone in exchange offer? Pay more under GST,449816,159,79,0,0.00
"PSBs may bank on UDAY to free up Rs 20,000 crore",5291583,159,79,0,0.00
Trai tells Reliance Jio to withdraw Summer Surprise offer,6317811,159,79,0,0.00
"Urjit Patel keeps rates unchanged, prefers to drive in neutral mode",3313768,159,79,0,0.00
'Mumbai richest Indian city with total wealth of $820 bn',3013606,79,79,0,0.00
'Mumbai richest Indian city with total wealth of $820 bn',5690235,79,79,0,0.00
'Mumbai richest Indian city with total wealth of $820 bn',5693451,79,79,0,0.00
"195 km super expressway to link Delhi, Jaipur",4374646,79,79,0,0.00
"Aadhaar data base fully safe and secure, says UIDAI",250064,79,79,0,0.00
"Aadhaar data base fully safe and secure, says UIDAI",4860581,79,79,0,0.00
Aadhaar may become the only card in future: Arun Jaitley,4222934,79,79,0,0.00
Aadhaar to be soon compulsory for filings under Companies Act,1707176,79,79,0,0.00
Aadhaar verification process for phones to start soon; task to cost Rs 1000 crore for telcos,3498826,79,79,0,0.00
Aadhaar verification process for phones to start soon; task to cost Rs 1000 crore for telcos,6120865,79,79,0,0.00
Aadhaar-based KYC likely across financial sector,197078,79,79,0,0.00
Abu Dhabi Global Market & GIFT SEZ for Finance take Bilateral Cooperation to next level,3013606,79,79,0,0.00
"After RBI, Nabard says loan waivers a bad idea",6348797,79,79,0,0.00
Agriculture Ministry forecast record foodgrain production,1328920,79,79,0,0.00
"Agriculturists, small traders exempt from registering under GST",4137754,79,79,0,0.00
"Agriculturists, small traders exempt from registering under GST",5815641,79,79,0,0.00
Airtel moves telecom tribunal to restrain Reliance Jio from providing free services,6129569,79,79,0,0.00
Airtel moves telecom tribunal to restrain Reliance Jio from providing free services,6430077,79,79,0,0.00
All cash withdrawal limits go back to pre-demonetisation era,5921933,79,79,0,0.00
"All tax data will be completely secure, GSTN assures India Inc",2238974,79,79,0,0.00
Allowing FDI in LLPs to help ease of doing business: Deloitte,5921933,79,79,0,0.00
"Apple may have to wait for GST rollout, says Nirmala Sitharaman",1239712,79,79,0,0.00
Apple may waltz into India towing partners along,5129365,79,79,0,0.00
"Are Jio's offers base plan or special voucher, TDSAT asks TRAI",5145013,79,79,0,0.00
"Arjun Kapoor cant get enough of his BFF Ranveer Singh, he just found his twin brother. Watch hilarious video",4017786,79,79,0,0.00
Arun Jaitley says 7-8 per cent growth 'absolute normal' for India,6441803,79,79,0,0.00
Bankruptcy courts will spring to life as government targets bad loans,6756159,79,79,0,0.00
Big brother? 100 small brothers are watching you,6042789,79,79,0,0.00
"Budget 2017 pro-poor, pro-farmer: Sarbananda Sonowal",4925325,79,79,0,0.00
Budget 2017: Arun Jaitley's low-key Budget misses demonetisation note,3354772,79,79,0,0.00
Budget 2017: Can government walk its impressive talk?,5027859,79,79,0,0.00
"Budget 2017: ETF may include PSB shares, government holding in private firms",3375566,79,79,0,0.00
"Budget 2017: Experts have hailed note ban's positive impact on real estate, says government",4106104,79,79,0,0.00
"Budget impact: New arm's length norms, interest restrictions will hit India Inc",4152586,79,79,0,0.00
"Budget promotes growth, employment: Bibek Debroy",2803708,79,79,0,0.00
Budget's TEC theme will aid in economic revival,5027859,79,79,0,0.00
Buying a flat? Here's why you should wait till May 1,1707176,79,79,0,0.00
"Cabinet approval to changes in Motor Vehicles, Companies bills",5238911,79,79,0,0.00
"Cabinet approval to changes in Motor Vehicles, Companies bills",6240399,79,79,0,0.00
Cabinet approves Customs Convention on international transport of goods,5362951,79,79,0,0.00
Cabinet nod to cadre review of Central Eng Service (Road),3210336,79,79,0,0.00
Carefully crafted policies unlock investments in infrastructure: Nitin Gadkari,5906675,79,79,0,0.00
CBEC asks tax officers to speed up GST migration,3690608,79,79,0,0.00
Central body to check quality of new ayurvedic drugs likely,5256167,79,79,0,0.00
Centre may bring in new method to value M&A; to tax undervalued ones,5654233,79,79,0,0.00
China is biggest exporter of solar equipment to India with 87 per cent market share,2708372,79,79,0,0.00
CIFA alleges that some sugar has already been brought into India,5224027,79,79,0,0.00
CII backs government on GDP growth,662072,79,79,0,0.00
Commerce Ministry on the job for leather scheme,1327282,79,79,0,0.00
Commerce Ministry studying report of Frost & Sullivan for revamping DGFT,5921933,79,79,0,0.00
Companies can avail up to 40 per cent GST Credit for excise already paid on stocks,1305130,79,79,0,0.00
Companies work out strategies to beat PoEM blues,5724583,79,79,0,0.00
Conference on 'Make in India' held in Houston,5694401,79,79,0,0.00
Consultations on note ban with RBI were on since February: Arun Jaitley,5288455,79,79,0,0.00
Corporate India's quick guide to Budget,207798,79,79,0,0.00
Corporate India's quick guide to Budget,5090301,79,79,0,0.00
Demonetisation created uncertainty about short and medium term outlook for economy: Moody's,5224027,79,79,0,0.00
Demonetisation unnecessarily demonised: Aditya Puri,5224027,79,79,0,0.00
Dhoni case: UIDAI sensitises agencies on celebrity enrolments,2570228,79,79,0,0.00
DIPAM readies blueprint for FY18 divestment,1351194,79,79,0,0.00
Donald Trump signs executive orders to revive economy and bring jobs back to US,5028117,79,79,0,0.00
Donald Trump signs executive orders to revive economy and bring jobs back to US,947992,79,79,0,0.00
Draft rules for digital payment to be released soon for public consultation: Ravi Shankar Prasad,4450412,79,79,0,0.00
"Drones, satellites on the job as Modi pushes team to meet his election promises",4372104,79,79,0,0.00
Dynamic fuel pricing deepening deregulation: Jefferies,5590757,79,79,0,0.00
Economic reforms: Tax on agriculture income part of Niti Aayogs action plan,6465807,79,79,0,0.00
Economic Survey hints at demonetisation 'windfall' doles in Budget 2017,3370020,79,79,0,0.00
Enemy Property Bill to bring windfall of Rs 1 lakh crore for government,5758281,79,79,0,0.00
Engineering exports may reach over $60 billion this fiscal: Nirmala Sitharaman,5758281,79,79,0,0.00
"ET GBS 2017: GST encouraging but India needs to do more, says Harvard Professor Martin Feldstein",5664773,79,79,0,0.00
ET GBS 2017: Invest and build whatever it takes - top world economist's advice for Modi govt,5749261,79,79,0,0.00
Expect a visit from taxman if you've ignored I-T dept's email,691882,79,79,0,0.00
"Exports increase by 27.6% in March, imports up 45%",3622106,79,79,0,0.00
Fed rate hike to have minimal impact on RBI policy: India Inc,5758281,79,79,0,0.00
Food Ministry favours hike in tur dal import duty to 25%,5256167,79,79,0,0.00
"For faster growth in India, change the land acquisition law: Official",947992,79,79,0,0.00
Foreign investors may take a refreshed stance on India investments after election results,5921933,79,79,0,0.00
"GDP up but job security falls, only 16% earn regular wage",6058021,79,79,0,0.00
Government creates pulses buffer stock of 10 lakh tonnes so far,4082110,79,79,0,0.00
Government exhorts importers to use direct port delivery facility,5651183,79,79,0,0.00
"Government expects to raise Rs 2,82,212 crore from cess in 2017-18",5965279,79,79,0,0.00
Government formulates policy for development near urban transit corridors,4636130,79,79,0,0.00
"Government generates Rs 1,748 crore from auction of 31 coal mines",5758281,79,79,0,0.00
Government hopes to resolve 100 transfer pricing issues by year end,5532875,79,79,0,0.00
Government in advanced talks with entities for investment in NIIF,1239712,79,79,0,0.00
Government looking to sell 51 per cent stake in Dredging Corp,5477301,79,79,0,0.00
Government makes Aadhaar mandatory for availing PDS foodgrains,4998125,79,79,0,0.00
Government nod for professional agency to manage pulses buffer stock,1118286,79,79,0,0.00
"Government ready to roll out GST from July 1, gave industry enough time: Hasmukh Adhia",5420881,79,79,0,0.00
Government releases draft rules for wallet companies,5812895,79,79,0,0.00
Government sets $45 billion textiles exports target for FY18,6865377,79,79,0,0.00
"Government slaps 10% import duty on wheat, tur dal",5004011,79,79,0,0.00
"Government strikes balance between fiscal prudence, growth boost: Goldman Sachs",5153635,79,79,0,0.00
Government to frame policy to further reduce charges on cashless transactions: Hansraj Gangaram Ahir,5256167,79,79,0,0.00
