# ----------------------------------------
# All Mobile App Data
# Top Events
# 20170201-20170531
# ----------------------------------------

Event Label,Customer User Id,Total Events,Unique Events,Event Value,Avg. Value
Baahubali 2 new trailer: Shivudu and Bhallaladeva face-off is the highlight. Watch video,3002082,317,79,0,0.00
Baahubali 2 teaser: Prabhas is all set for a war like we have never seen before. Watch video,5795747,238,79,0,0.00
"Disha Patani bikini photo is the hottest thing you will see today, see pic",3184078,238,79,0,0.00
"Karan Johar becomes a father with twins via surrogacy, says report",5065059,238,79,0,0.00
"Malaika Arora lets go of herself at a party, and this is what happened. Watch video",3498826,238,79,0,0.00
Oscars 2017: How and where to watch the 89th Academy Awards live in India,2482338,238,159,0,0.00
Power Pandi trailer: Dhanush's debut directorial film has the making of a blockbuster. Watch video,5991841,238,79,0,0.00
"Raees box office collection day 7: Shah Rukh Khan-starrer breaks January jinx, enters Rs 100 crore club",3821448,238,159,0,0.00
Robin Williams final film Absolutely Anything gets US release date,683356,238,79,0,0.00
Twinkle Khanna aka Mrs Funnybones takes a dig at Kapil Sharma: Footwear is also a weapon these days,250064,238,79,0,0.00
"Vivegam teaser: This is Ajith like you have never seen him before, watch video",5923407,238,79,0,0.00
Yeh Hai Mohabbatein 11th February 2017 full episode written update: Raman feels suspicious about Mani,3305554,238,79,0,0.00
Yeh Hai Mohabbatein 9th April 2017 full episode written update: Ashok and Gagan join forces to trouble Adi,4250850,238,79,0,0.00
2.0: Rajinikanth and Akshay Kumar film postponed?,3622106,159,79,0,0.00
64th National Film Awards: And the Winners Are,6308891,159,79,0,0.00
Actor Nithiin apologises for his comment on Pawan Kalyan's Katamarayudu teaser,3426632,159,79,0,0.00
"Admired and mobbed, Archie of Sairat says fans recognise her even when she covers her face",683356,159,79,0,0.00
"After Dear Zindagi, is Alia Bhatt the leading lady of Shah Rukh Khan in Anand L Rais next film? See pic",6217607,159,79,0,0.00
"After Priyanka Chopra, Monali Thakur wants to pursue singing internationally",1802098,159,79,0,0.00
"Akshay Kumar heads for National Awards ceremony with his mains Twinkle Khanna, son Aarav Kumar. See pic",3460442,159,79,0,0.00
Akshay Kumar vs Shah Rukh Khan on Independence Day weekend: Who has won in the past when SRK went against Akki?,3953588,159,79,0,0.00
Amy Jackson goes topeless in the first picture shared post her phone-hack. See pic,3894724,159,79,0,0.00
Anirudh Ravichander among featured artists for Apple Music in India,3563880,159,79,0,0.00
Ashutosh Gowariker to team up with Hrithik Roshan in his next project?,2771358,159,79,0,0.00
Baahubali 2 actor Rana Daggubati's special pillow during a flight is every girl's dream. See pic,4807659,159,79,0,0.00
Baahubali 2 actor Rana Daggubatis special pillow during a flight is every girls dream. See pic,4691157,159,79,0,0.00
Baahubali 2 actor Rana Daggubatis special pillow during a flight is every girls dream. See pic,4790643,159,79,0,0.00
Baahubali 2 box office collection day 2: SS Rajamouli film continues to rule the theaters across the world,2180590,159,159,0,0.00
Baahubali 2 box office collection day 5: SS Rajamouli film gets more shows in Russia on public demand,683356,159,79,0,0.00
Baahubali 2 first review out from UAE and the critic is awed by everything,5114311,159,79,0,0.00
Baahubali 2 star Prabhas becomes first South Indian actor to get a wax statue at Madame Tussauds. See pics,5178331,159,79,0,0.00
"Baahubali 2 trailer breaks records, finds place among top 10 most viewed online videos in 24 hours",3540264,159,79,0,0.00
Baahubali 2 trailer launch:SS Rajamouli says Baahubali is going to be a franchise,4998125,159,79,0,0.00
"Baahubali 2 trailer to first release in theatres, confirms director SS Rajamouli",2775340,159,79,0,0.00
Baahubali 2 trailer: Five questions whose answer we desperately want,2828914,159,79,0,0.00
Baahubali 2 trailer: Five questions whose answer we desperately want,2964190,159,79,0,0.00
