# ----------------------------------------
# All Mobile App Data
# Top Events
# 20170201-20170531
# ----------------------------------------

Event Label,Customer User Id,Total Events,Unique Events,Event Value,Avg. Value
"Reliance Jio Prime postpaid, prepaid plans: Here's what is different from Airtel, Vodafone",3409398,317,79,0,0.00
"Jio Prime plan extended till April 15, new 'Summer Surprise' offer announced",691882,238,79,0,0.00
Nokia at MWC 2017: Here is everything you need to know,5106631,238,159,0,0.00
Nokia at MWC 2017: Here is everything you need to know,5340283,238,79,0,0.00
"Reliance Jio 'Summer Surprise' offer withdrawn, Jio Prime deadline April 15 and more: All you need to know",5178331,238,79,0,0.00
TRAI held our free offers as legitimate: Reliance Jio to Delhi HC,4948631,238,79,0,0.00
YouTube announces its live streaming service to take on cable TV,5106631,238,159,0,0.00
"Android Nougat now seeding for Samsung Galaxy S6, S6 edge in India: Report",5410251,159,79,0,0.00
Android O: Here are top features you should be happy about,5106631,159,159,0,0.00
Anti-fraud steps lead Snapdeal to savings of Rs 3 crore per month,1972914,159,79,0,0.00
"Apple beats Samsung in smartphones sales, but the Chinese are growing: Gartner",5129365,159,79,0,0.00
Apple hires secret team for treating diabetes: Report,2961656,159,79,0,0.00
"Apple to use glass chassis on 5.8-inch iPhone 8, says new report",5106631,159,79,0,0.00
Apple Watch Series 3 to come with new display technology: Report,4611374,159,79,0,0.00
Apples new iPad with 9.7-inch display now up for pre-order on Flipkart,3897064,159,79,0,0.00
Apples red iPhone 7 and iPhone 7 Plus to be available in India by end of this week,6352995,159,79,0,0.00
"Asus ROG GX800 liquid-cooled gaming laptop launched in India; priced at Rs 7,97,000",3745452,159,79,0,0.00
BSNL aims to complete North East telecom project by December 2018,3118048,159,79,0,0.00
"BSNL revises STV-339 plan to offer 3GB data per day, rolls out three new prepaid plans",3269178,159,79,0,0.00
China telecom firm ZTE removed from US trade blacklist,3269178,159,79,0,0.00
"Consumers confused about artificial intelligence, claims study",4377734,159,79,0,0.00
Egyptian researchers create biodegradable plastic using shrimp shells,5106631,159,79,0,0.00
Flipkart says Moto G5 Plus fastest selling smartphone on the site,3622106,159,79,0,0.00
"Fresh hunt for Tasmanian tiger, nearly 80 years after extinction",209276,159,79,0,0.00
"Gionee M6S Plus with 6-inch FHD display, 6020mAh battery launched in China",4820077,159,79,0,0.00
Google asks for feedback on the design of Pixel smartphones,5493845,159,79,0,0.00
Google Pixel 2 to launch this year with 'premium' price: Report,4374646,159,79,0,0.00
"Government issues notices to RJio, Paytm for using Prime Minister's photo in advertisements",3265482,159,79,0,0.00
Human vision inspires new camera system,3118048,159,79,0,0.00
"If you don't get Reliance Jio Prime membership, here's what you'll end up paying",4474382,159,79,0,0.00
"If you don't get Reliance Jio Prime membership, here's what you'll end up paying",4914687,159,79,0,0.00
"If you don't get Reliance Jio Prime membership, here's what you'll end up paying",601722,159,79,0,0.00
"Intex FitRist Cardio with heart rate sensor launched at Rs 1,499",3897064,159,79,0,0.00
Is Oculus working on a VR glove? Mark Zuckerberg's post sure suggests so,601722,159,79,0,0.00
ISRO planning launch of SAARC satellite in March,4791919,159,79,0,0.00
Itel Mobile ties up with Idea to offer free 1GB data per month for 6 months,4957979,159,79,0,0.00
Jio ahead in network coverage but trails in 4G speeds: Report,3118048,159,79,0,0.00
Kik app debuts digital currency amid Bitcoin boom,6265749,159,79,0,0.00
"Massive super Jupiter exoplanet discovered, located 21,000 light years away",3583462,159,79,0,0.00
"Meizu M5s launched in China: Price, specifications and features",3985774,159,79,0,0.00
Moto G5 in Blue Sapphire colour variant leaked,5106631,159,79,0,0.00
"Motorola Moto E4, Moto E4 Plus price, specifications leaked online: Report",4611374,159,79,0,0.00
"MWC 2017: Moto G5, Moto G5 plus could come to India in March",5550597,159,79,0,0.00
MWC 2017: Oppo introduces 5x dual camera zoom for smartphones,5682953,159,79,0,0.00
NASA invites public to search for new nearby worlds,5493401,159,79,0,0.00
"NASA's Chandra satellite detects distinct X-ray signal, may prove existence of dark matter",3013412,159,79,0,0.00
New wi-fi system to provide 100 times faster Internet,5666515,159,79,0,0.00
