# ----------------------------------------
# All Mobile App Data
# Top Events
# 20170201-20170531
# ----------------------------------------

Event Label,Customer User Id,Total Events,Unique Events,Event Value,Avg. Value
India Vs Australia: Shreyas Iyer has a knock at the nets as India prepare for Virat Kohli-less Test,5076159,397,79,0,0.00
"We just needed to bat the whole day and we've managed to do that, says Matt Renshaw",5076159,397,79,0,0.00
Bangladesh looking to rebound in second Test against Sri Lanka,5878191,317,79,0,0.00
India vs Australia 2017: Australia stare at 'dry clean',5076159,317,79,0,0.00
Sony India hoping for increased viewership for IPL 2017,3816084,317,79,0,0.00
"After calm, Gayle storm",1474468,238,79,0,0.00
"Australia 55/2, Live Cricket Score, India 'A' vs Australia three day warm up game at Mumbai: Renshaw falls 11",2674278,238,79,0,0.00
India vs Australia 2017: How India went from 94/3 to 105 all out,5457519,238,79,0,0.00
"IPL 2017, KKR vs GL: We missed experienced Ravindra Jadeja and Dwayne Bravo, says Suresh Raina",4938981,238,79,0,0.00
IPL 2017: Steve Smith takes six-day break from Indian Premier League,5918869,238,79,0,0.00
"KXIP vs SRH: 200-plus was chaseable but we were sloppy, says Glenn Maxwell",683356,238,79,0,0.00
Para-Badminton: Sukant Kadam breaks into top 10 of world rankings in singles,5759267,238,79,0,0.00
Serena Williams accidently posted picture indicating pregnancy,6486783,238,79,0,0.00
"South Africa vs Sri Lanka third ODI interrupted by wandering bees in the Wanderers, watch video",5049521,238,79,0,0.00
Tragic-comic life of man who hit 3 tons vs India,5437837,238,79,0,0.00
Vani Kapoor wins maiden title of new season,1382900,238,79,0,0.00
"Virender Sehwag trolls Pakistan, congratulates India eves on thumping victory",5076159,238,79,0,0.00
"When is IPL 2017 Opening Ceremony? What time does it start, live streaming online and live TV coverage",5771571,238,79,0,0.00
'Indecision' Review System: India get 17 out of 55 calls right,3816084,159,79,0,0.00
'Supergiants On Wheels': Rising Pune Supergiants unveil van for cricket enthusiasts,3946142,159,79,0,0.00
Ajinkya Rahane slated to come back for Karun Nair against Bangladesh,708918,159,79,0,0.00
"Anil Kumble lauds Virat Kohli, MS Dhoni",5076159,159,79,0,0.00
"Australia stonewall, block by block",2708372,159,79,0,0.00
Barcelona appeal Luis Suarez suspension from Copa del Rey final,3653200,159,79,0,0.00
Barcelona's Aleix Vidal to miss rest of season after dislocating ankle,4681908,159,79,0,0.00
BCCI 'RFP' for IPL 2017 Opening Ceremony has strict guidelines,3476186,159,79,0,0.00
Bengal Premier T20 League to take place in December: Sourav Ganguly,6664945,159,79,0,0.00
Borussia Dortmund bus blast: Man arrested over bombing of German football team bus,3583462,159,79,0,0.00
Bundesliga club Darmstadt invite Barack Obama to game,3158432,159,79,0,0.00
Champions Trophy 2017: Complete squads and players list of eight competing teams,411794,159,159,0,0.00
Champions Trophy squad to be named after ICC meet,6549491,159,79,0,0.00
COA status report rules out N Srinivasan from ICC meeting in Dubai,4091918,159,79,0,0.00
Coming soon: Friends Season 10,411794,159,79,0,0.00
"Complete turnaround: Steve can finally have a beer or two, without a strain of guilt",5550597,159,79,0,0.00
Cricket removed from 2018 Asian Games programme,6532123,159,79,0,0.00
Cristiano Ronaldo hat-trick puts Real Madrid in drivers seat against Atletico Madrid,3173796,159,79,0,0.00
Dan Evans and Kyle Edmund through at Barcelona Open,866960,159,79,0,0.00
Darren Sammy in the limelight as crowds throng Gaddafi Stadium of PSL final at Lahore,3816084,159,79,0,0.00
