# ----------------------------------------
# All Mobile App Data
# Top Events
# 20170620-20170710
# ----------------------------------------

Event Label,Customer User Id,Total Events,Unique Events,Event Value,Avg. Value
Highlights of Cabinet nod to pay panel recommendations on allowances for central government staff,1824584,18,9,0,0.00
J&K is attempting economic suicide by not approving GST Bill: Govt sources to ET Now,3139626,14,5,0,0.00
FMCG companies may not make higher profits on lower GST rates,7036915,9,5,0,0.00
GST will generate 10 lakh job opportunities: Haryana Chief Minister Manohar Lal Khattar,7077199,9,5,0,0.00
"How GSTN, Infosys and GSPs are trying hard to get IT system up & running ahead of July 1 GST rollout",1824584,9,5,0,0.00
Net income tax collection rises 14.8 per cent to Rs 1.42 lakh crore in Q1,7081505,9,5,0,0.00
Printing of Rs 200 currency notes begins,1824584,9,5,0,0.00
"Ready or not, businesses brace for biggest-ever tax reform",2869614,9,5,0,0.00
"Second day of GST regime sees automobile companies like Toyota, Hero MotoCorp cut prices",7077199,9,9,0,0.00
"View: India can tout a big reform, but not yet reformers",302210,9,9,0,0.00
What price for entertainment after July 1? Here's how GST will impact your fun time,7038409,9,5,0,0.00
'Inflation targeting' can't work in India: Former RBI governor Bimal Jalan,4886937,5,5,0,0.00
12% and 18% can converge in future: Arun Jaitley,3115964,5,5,0,0.00
12% and 18% can converge in future: Arun Jaitley,5457501,5,5,0,0.00
12% and 18% can converge in future: Arun Jaitley,7077111,5,5,0,0.00
6 reasons you need not fear the GST regime,5457501,5,5,0,0.00
6 reasons you need not fear the GST regime,727564,5,5,0,0.00
71 pending FDI proposals put on fast track; decision likely in 8 to 10 weeks,7032359,5,5,0,0.00
"7th Pay Commission: Government raises allowances for government employees, pensioners",727564,5,5,0,0.00
7th pay commission: HRA hike impact on inflation maybe lower than estimates,7055903,5,5,0,0.00
A primer on the country's biggest tax reform in decades,4443014,5,5,0,0.00
Airtel may buy Tata Teleservices: CCS Insight,2097576,5,5,0,0.00
Airtel may buy Tata Teleservices: CCS Insight,2869614,5,5,0,0.00
Amazon's food retail plan may get government nod in July,216996,5,5,0,0.00
"Amid pending FTA talks, Israel looks to boost exports to India",7068469,5,5,0,0.00
"Amid pending FTA talks, Israel looks to boost exports to India",7078983,5,5,0,0.00
"Anti-profiteering sleuths visit retailers, wholesalers, malls",7106797,5,5,0,0.00
Apprehension about price rise post-GST misplaced: former Revenue Secretary Shaktikanta Das,7027385,5,5,0,0.00
Arun Jaitley launches 'Aaykar Setu' to enhance e-access of taxpayers,5457501,5,5,0,0.00
"Aruna Sundararajan gets full charge as DoT secretary, Ajay Prakash Sawhney new IT secretary",5606825,5,5,0,0.00
Arvind Panagariya makes presentation to PMO for reliable jobs data,2097576,5,5,0,0.00
Basmati brands seek parity in GST,7102247,5,5,0,0.00
"Cab companies seek clarity on state entry, exit taxes in GST regime",216996,5,5,0,0.00
"Cab companies seek clarity on state entry, exit taxes in GST regime",302210,5,5,0,0.00
"Cabinet approves 7th Pay Commission recommendations with 34 changes, to benefit 48 lakh employees",727564,5,5,0,0.00
"Carmakers cut prices, iPhones too cheaper; ghee gets costlier",7078983,5,5,0,0.00
"Cash crunch led to 'material impact on spending', says Fitch",216996,5,5,0,0.00
Cash of over Rs 2 lakh can be used to pay credit card bills,302210,5,5,0,0.00
Commerce Ministry to consider 62 SEZ projects for cancellation,7053785,5,5,0,0.00
Companies may lose their registration if they fail to pass GST benefits to you,3115964,5,5,0,0.00
Companies reviewing hybrid plans on higher tax levy,3642864,5,5,0,0.00
"Consumer-facing firms selling cars, electronics will be GST-ready only by mid-July",727564,5,5,0,0.00
Darjeeling tea industry staring at zero production of its premium flush teas,7032099,5,5,0,0.00
DCCBs can deposit banned notes collected only between Nov 10-14: RBI,6932919,5,5,0,0.00
Decks cleared for Dhirubhai Ambani Aerospace Park at Mihan,302210,5,5,0,0.00
Department of Telecom working on stricter rules for tracking lost cell phones,3054298,5,5,0,0.00
Devices for disabled taxed at concessional 5% rate: Government,2097576,5,5,0,0.00
Digital payments rise 55% in FY'17: Watal,7075197,5,5,0,0.00
Domestic electronics manufacturers to benefit from GST: Report,7087661,5,5,0,0.00
"DoT plans cell for safeguarding consumers against theft of phones, data on them",302210,5,5,0,0.00
Economists disagree over claims of jobless growth,302210,5,5,0,0.00
Electric vehicles project FAME moved to Niti Aayog,4886937,5,5,0,0.00
Engineering exporters raise concern over GST at Board of Trade meet,7026673,5,5,0,0.00
Even kirana shops will find it hard to evade taxes now,3169594,5,5,0,0.00
EXIM container volume growth dips on note ban: Report,1526142,5,5,0,0.00
Extend fumigation on imported grain by 1 year: IPGA,1001478,5,5,0,0.00
Farmers in west and central India go slow on kharif sowing,7032099,5,5,0,0.00
Farmers may see agri input scarcity despite prediction of a good monsoon,6988205,5,5,0,0.00
FIEO sets export target of $325 billion for this fiscal,2097576,5,5,0,0.00
"Finance Ministry starts notifying provisions of GST acts, amends rules",727564,5,5,0,0.00
FM Arun Jaitley holds meeting on bitcoins,4886937,5,5,0,0.00
FMCG companies may not make higher profits on lower GST rates,216996,5,5,0,0.00
FMCG companies may not make higher profits on lower GST rates,727564,5,5,0,0.00
Forex reserves at fresh life-time high of $382.53 bn,7072263,5,5,0,0.00
"From 11% to 2.2%, Five charts explain vanishing India inflation",3054298,5,5,0,0.00
"From 11% to 2.2%, Five charts explain vanishing India inflation",7023103,5,5,0,0.00
"From July 1, PAN must be linked to Aadhaar",1526142,5,5,0,0.00
"From July 1, PAN must be linked to Aadhaar",3269178,5,5,0,0.00
"From July 1, PAN must be linked to Aadhaar",7064871,5,5,0,0.00
Global survey finds planned exports hitting 18-month high,7053785,5,5,0,0.00
"Government bans practice of dual MRP at airports, malls",2097576,5,5,0,0.00
"Government imposes 10 per cent customs duty on imported mobile phones, parts",6428893,5,5,0,0.00
"Government imposes 10 per cent customs duty on imported mobile phones, parts",7073921,5,5,0,0.00
"Government mulls leasing out airports, ports and other infrastructure assets to private operators",2097576,5,5,0,0.00
"Government mulls leasing out airports, ports and other infrastructure assets to private operators",7083777,5,5,0,0.00
Government seeks Rs 16K cr loan from JICA for dairy development,302210,5,5,0,0.00
"Government sells stake in L&T for Rs 4,158 crore",7032099,5,5,0,0.00
Government won't hike PDS foodgrain prices for another year: Ram Vilas Paswan,2869614,5,5,0,0.00
Government won't hike PDS foodgrain prices for another year: Ram Vilas Paswan,727564,5,5,0,0.00
"Govt notifies 18 sections, 2 rules for GST",3422256,5,5,0,0.00
"Govt notifies 18 sections, 2 rules for GST",6432791,5,5,0,0.00
Govt to divest 5% in RCF on Jun 29-30; to raise Rs 200cr,727564,5,5,0,0.00
Govt to soon release digital payment fee policy: Niti Aayog official,6932919,5,5,0,0.00
Govt to soon release digital payment fee policy: Niti Aayog official,7077199,5,5,0,0.00
Great farmer bailout imperils India sovereign-rating upgrade,6770653,5,5,0,0.00
Great farmer bailout imperils India sovereign-rating upgrade,7032099,5,5,0,0.00
Great farmer bailout imperils India sovereign-rating upgrade,7038677,5,5,0,0.00
"GST blues: Millennials, get ready for a tougher life after July 1",727564,5,5,0,0.00
GST Clinics to help traders in smooth transition,216996,5,5,0,0.00
GST Clinics to help traders in smooth transition,3115964,5,5,0,0.00
GST Council to review rollout of GST on August 5,7071811,5,5,0,0.00
GST important achievement but transitional challenges there: ADB president,5607053,5,5,0,0.00
GST intelligence agency gets new chief,7111621,5,5,0,0.00
"GST is a win-win for all: Consumers, businesses and government: Venkaiah Naidu",2565930,5,5,0,0.00
"GST is a win-win for all: Consumers, businesses and government: Venkaiah Naidu",7067369,5,5,0,0.00
GST narrows ambit of duty credit scrip use by exporters,7072681,5,5,0,0.00
GST narrows ambit of duty credit scrip use by exporters,7077583,5,5,0,0.00
"GST pangs for 3 months only, people will adjust to new way of life soon: Revenue Secretary Hasmukh Adhia",727564,5,5,0,0.00
