# ----------------------------------------
# All Mobile App Data
# Top Events
# 20170601-20170618
# ----------------------------------------

Event Label,Customer User Id,Total Events,Unique Events,Event Value,Avg. Value
Successful Demonetisation will help up revenues in long run: World Bank,6358493,15,5,0,0.00
Farmer strike forces Maharashtra government to lift stock limit on pulses,845374,10,5,0,0.00
"FCI to construct 1,25,000 MT godown in Northeast",5290741,10,5,0,0.00
GST Council forms 18 groups to sort out industry worries,6966595,10,5,0,0.00
India to set up four think tanks to get help on trade talks,1440,10,5,0,0.00
India's core consumer inflation seen at around 4.2 per cent in May,6985289,10,5,0,0.00
"No reason to defer July 1 GST roll-out, says Arun Jaitley",4393536,10,5,0,0.00
"Rs 3,600 crore PFC loan to 4 UP discoms for new connections",6948153,10,5,0,0.00
Traders can e-verify GST registration application via OTP,1957050,10,5,0,0.00
12 defaulters identified by RBI to be named soon: Finance Ministry,6995237,5,5,0,0.00
12 defaulters identified by RBI to be named soon: Finance Ministry,6995283,5,5,0,0.00
37 returns instead of 13: One of the many challenges threatening GST rollout,2097576,5,5,0,0.00
4 reasons why India should keep its fingers crossed when GST rolls in next month,3115964,5,5,0,0.00
"Aadhaar mandatory for kerosene subsidy, Atal Pension Yojana",3380864,5,5,0,0.00
"Aadhaar mandatory for opening bank account, financial transactions of Rs 50,000 and above",3115964,5,5,0,0.00
Aadhaar must to avail government co-contribution under APY,1526142,5,5,0,0.00
Aadhaar must to avail government co-contribution under APY,6985481,5,5,0,0.00
Abolished various cesses via budgets to pave way for GST: Government,4393536,5,5,0,0.00
Abolished various cesses via budgets to pave way for GST: Government,6956397,5,5,0,0.00
"After UP, NITI Aayog to help plan Punjab development",6948153,5,5,0,0.00
Are Jio's 4G gear imports duty free? Telcos may have to cough up hefty customs duty if govt thinks otherwise,6918325,5,5,0,0.00
Armed forces canteen to get 50 per cent refund of Goods and Service Tax,1725350,5,5,0,0.00
Armed forces canteen to get 50 per cent refund of Goods and Service Tax,2564808,5,5,0,0.00
Armed forces canteen to get 50 per cent refund of Goods and Service Tax,4886937,5,5,0,0.00
Armed forces canteen to get 50 per cent refund of Goods and Service Tax,6358493,5,5,0,0.00
Branded curry masalas become cheaper,4851375,5,5,0,0.00
CAIT asks for 9-month relief against any GST lapses,1957050,5,5,0,0.00
