# ----------------------------------------
# All Mobile App Data
# Top Events
# 20170620-20170710
# ----------------------------------------

Event Label,Customer User Id,Total Events,Unique Events,Event Value,Avg. Value
Lisa Haydon shared her newborn son Zack Lalvanis little behind and it is the cutest thing today. See photo,7067145,18,5,0,0.00
Duvvada Jagannadham or DJ: Five reasons why this Allu Arjun film is a must watch,7028929,14,5,0,0.00
"2.0: Rajinikanth, Akshay Kumar films hot air balloon to flaunt Indias might in Hollywood. See photos",7048669,9,5,0,0.00
Airtel Monsoon Surprise offer with 30GB free data goes live: Heres how to claim,1575390,9,5,0,0.00
Beyhadh actor Jennifer Winget supports Aneri Vajani after shes slut-shamed: Were all made differently,1439716,9,9,0,0.00
"Dear Kareena Kapoor Khan, Taimur Ali Khan is more Pataudi than Kapoor and these pictures are proof",3139626,9,5,0,0.00
Dharmendra knew Yamla Pagla Deewana 2 will be a flop,1992076,9,5,0,0.00
Did Shah Rukh Khan just confirm Salman Khans cameo in Aanand L Rai film?,7053209,9,9,0,0.00
Duvvada Jagannadham or DJ box office: Allu Arjun film races to Rs 100 crore club,2857254,9,5,0,0.00
"Duvvada Jagannadham Seeti Maar song trailer: Allu Arjun, Pooja Hegde set dance floor on fire, watch video",7024911,9,5,0,0.00
"Govinda fumes over makers dropping his part in Jagga Jasoos: I did my job, didnt even charge my signing amount",2973928,9,5,0,0.00
"Guest Iin London box office collection day 1: Paresh Rawal, Kartik Aaryan film opens without much hype",1439716,9,5,0,0.00
"IIFA 2017: Varun Dhawan to launch Judwaa 2 songs Oonchi hai Building, Tan Tana Tan. Will Salman Khan make an appearance too?",1439716,9,5,0,0.00
"Inside Edge will amplify Indian showbizs global presence, say makers",5176137,9,5,0,0.00
International Yoga Day 2017: Shilpa Shetty does a real tough asana and were impressed. Watch video,7028929,9,5,0,0.00
"International Yoga Day 2017: Six times Bollywood stars went up against Ramdev. See photos, videos",2485338,9,5,0,0.00
Kaala: Superstar Rajinikanth will wrap shooting in Mumbai on Thursday,2869614,9,5,0,0.00
Kamya Panjabi backs out of #LipstickRebellion after posting bold bare back picture. See photo,3139626,9,5,0,0.00
Kim Kardashian mom-shamed for posting image of her child sitting front facing in car,4812909,9,5,0,0.00
"Priyanka Chopra is having an ongoing love affair with Paris, and is as starstruck as us. See photos",22,9,5,0,0.00
Rajinikanth's daughter Soundarya officially divorced from Ashwin Ramkumar,5802651,9,5,0,0.00
Sabbir Khan says reports of him and Tiger Shroff having differences are false,7078983,9,5,0,0.00
"SIIMA 2017 Day 2: Mohanlal, Sivakarthikeyan, Nayanthara win as Ranbir-Katrina turn Lungi Machas. See photos, videos",7080475,9,5,0,0.00
Spider-Man Homecoming: Tom Holland was told that Tiger Shroff is his Hindi voice and his reaction is epic. Watch video,248126,9,9,0,0.00
"Spider-Man swings into Marvel Universe for latest film, Spider-Man: Homecoming",3505192,9,5,0,0.00
"Spider-Man swings into Marvel Universe for latest film, Spider-Man: Homecoming",7068997,9,5,0,0.00
The Great Divide,7100367,9,5,0,0.00
Tubelight box office collection day 12: Salman Khan film to have worst second week after Veer,6411393,9,5,0,0.00
Tubelight box office collection day 12: Salman Khan film to have worst second week after Veer,7092131,9,9,0,0.00
"Tubelight box office collection day 5: Salman Khan film flickers, fails to get audience love",851284,9,5,0,0.00
