# ----------------------------------------
# All Mobile App Data
# Top Events
# 20170601-20170618
# ----------------------------------------

Event Label,Customer User Id,Total Events,Unique Events,Event Value,Avg. Value
Shamantakamani teaser: The multi-starrer looks stylish and full of promise. Watch video,6998433,15,5,0,0.00
"Actress Kritika Chaudhary was murdered, postmortem confirms head injury: Mumbai Police",6007651,10,5,0,0.00
Amitabh Bachchan in Malta for Thugs of Hindostan shoot,729084,10,5,0,0.00
"Amitabh Bachchan vividly remembers his marriage to Jaya Bachchan, the day when rains became good omen. See photo",6748731,10,5,0,0.00
Bank Chor box office collection day 1: Riteish Deskhmukh and Vivek Oberoi film fails to get audience,2060554,10,5,0,0.00
"Before MTV Spiltsvilla season 10 premieres, this is what Sunny Leone is upto on the sets. See photos",1439716,10,5,0,0.00
Chris Hemsworth is upset about Thor being excluded of Captain America Civil War. His fight with other Avengers is proof. Watch video,6140765,10,5,0,0.00
"Dangal box office: After Baahubali 2, Aamir Khan film surpasses xXx to become all-time fourth-highest grosser in China",6708883,10,5,0,0.00
Dangal vs Baahubali 2 box office collection: Here is why SS Rajamoulis film might not make Rs 2000 cr,2060554,10,5,0,0.00
"Deepika Padukone slammed for sharing a hot photo on social media, she replied by posting another one",1439716,10,5,0,0.00
Disha Patani wants someone to take her to the sea and this photo explains why,6735549,10,5,0,0.00
Emilia Clarke optimistic about future in Game of Thrones,6956397,10,5,0,0.00
Fatima Sana Shaikhs new hot avatar will make you forget that she is the same Dangal girl. See photos,1439716,10,5,0,0.00
"Fidaa teaser: Varun Tej, Sai Pallavi starrer is a love-hate-love story. Watch video",7011721,10,5,0,0.00
"Hindi Medium box office: Irrfan Khan-starrer crosses Rs 100 cr, becomes fifth film of 2017 to enter the club",6404849,10,5,0,0.00
"Jab Harry Met Sajel: Shah Rukh Khan, Anushka Sharma films mini trails during India vs Pakistan Champions Trophy final",2060554,10,5,0,0.00
"Jab Harry Met Sejal: Imtiaz Ali to present the Shah Rukh Khan, Anushka Sharma mini trails",2060554,10,5,0,0.00
"Jhanvi Kapoor photos: 18 best looking, beautiful HQ and HD photos of Jhanvi Kapoor",5861459,10,5,0,0.00
Julia Stambler is not afraid that boyfriend Charlie Sheen is HIV positive,6982119,10,5,0,0.00
"Katrina Kaif slapped Ranbir Kapoor, made him cry. Watch video",6735549,10,5,0,0.00
Kim Kardashian bent on having third child while Kanye West isnt nearly as obsessed as her,6988411,10,5,0,0.00
Konkona Sen Sharma speaks on turning director with A Death In The Gunj and why her actors were a ruckus band of people,6922903,10,5,0,0.00
Kumkum Bhagya 31st May 2017 full episode written update: Pragya meets Abhi and argues with him,6921081,10,5,0,0.00
Kumkum Bhagya 9th June 2017 full episode written update: Tannu asks Nikhil to kill Pragya and Abhi,6971167,10,5,0,0.00
"Newton poster: Rajkummar Rao film to release on August 18, see photo",727564,10,5,0,0.00
"On Mani Ratnam and Ilaiyaraajas birthdays, a look at the classics they delivered together",6877671,10,5,0,0.00
Raabta actor Kriti Sanon on link-up rumours: It is like a daily soap,4764983,10,5,0,0.00
