# ----------------------------------------
# All Mobile App Data
# Top Events
# 20170620-20170710
# ----------------------------------------

Event Label,Customer User Id,Total Events,Unique Events,Event Value,Avg. Value
Airtel network restored after temporary outage in Delhi NCR: Heres what happened,216996,14,5,0,0.00
Reliance Jio offers Xiaomi smartphone users 30GB extra data: Heres how it works,7064963,14,5,0,0.00
BSNL is offering six times more data to postpaid users: Heres how to get,6527353,9,5,0,0.00
Facebook crosses 2 billion monthly users,7028929,9,5,0,0.00
Facebook launches plan to combat online extremism,302210,9,5,0,0.00
Facebook launches plan to combat online extremism,7023245,9,5,0,0.00
Facebook launches plan to combat online extremism,7025451,9,5,0,0.00
Facebook rolls out tools to protect users profile photos in India: Heres how to use,7028929,9,5,0,0.00
Google Allo messaging app users get Duo video call option within chat window,7028929,9,5,0,0.00
"GST rollout effect: Asus ZenFone 3, ZenFone 3 Max models get price cuts",6527353,9,5,0,0.00
"GST rollout impact: Apple iPhone, iPad, Mac and Watch get price cuts",2485338,9,5,0,0.00
"GST rollout impact: Apple iPhone, iPad, Mac and Watch get price cuts",697094,9,5,0,0.00
"GST rollout impact: Apple iPhone, iPad, Mac and Watch get price cuts",7079301,9,5,0,0.00
"iVoomi, Mafe, Tecno new smartphone brands still make beeline for India",7100383,9,5,0,0.00
"Lava Helium 14 laptop with Windows 10, 2GB RAM launched at Rs 14,999",7065427,9,5,0,0.00
"Lenovo teases bendable, ThinkPad laptop concept with a flexible screen",216996,9,5,0,0.00
"LG G6+ with 6GB RAM, 128GB storage, and wireless charging launched",7017239,9,5,0,0.00
Moto C Plus now available at Rs 499 with Flipkart exchange offer: Heres how to get,6527353,9,5,0,0.00
"Moto Z2 Play review: Great design, camera works really well",7059723,9,5,0,0.00
"Motorola teases Moto E4 Plus with 5,000mAh battery, likely to launch in India soon",7047835,9,5,0,0.00
New artificial intelligence system can read your mind!,727564,9,5,0,0.00
"Not a joke: Smartphones can reduce your brain power, say scientists",6527353,9,9,0,0.00
"Nubia N2 with 5000mAh battery listed on Amazon, likely to launch in India on July 5",329210,9,5,0,0.00
"Petya ransomware cyberattack: What it does, how to protect your PC and more",6984215,9,5,0,0.00
