# ----------------------------------------
# All Mobile App Data
# Top Events
# 20170601-20170618
# ----------------------------------------

Event Label,Customer User Id,Total Events,Unique Events,Event Value,Avg. Value
"Lenovos Motorola to increase offline presence in India, says Mods adoption growing",216996,15,10,0,0.00
"Nokia 3 goes on sale in India: A look at launch offers, price and features",4007692,15,5,0,0.00
Oppo F3 Black BCCI Edition launched in India: Key features and price,216996,15,10,0,0.00
"Samsung Galaxy Note FE delayed, likely to release on July 30: Report",6735549,15,10,0,0.00
Alphabets Waymo starts testing its own self driving trucks,6935811,10,5,0,0.00
"CCI rejects Airtels complaint against Reliance Jio, RIL",6962215,10,5,0,0.00
"Flipkart Fathers Day offers: Apple iPhone 6 teased for Rs 2_,999",6907873,10,5,0,0.00
Google Chrome to block some annoying ads starting next year,626876,10,5,0,0.00
Google poaches Indian-origin chip architect from Apple,1616856,10,5,0,0.00
"Huawei Y7 Prime smartphone launched: Price, specifications and features",216996,10,10,0,0.00
International Space Station welcomes first returning vehicle since Atlantis shuttle,6547411,10,5,0,0.00
Microsoft Xbox One X vs Sony PS4 Pro: Which is the best 4K console?,6982119,10,5,0,0.00
Motorola Moto Z2 Play launched with Snapdragon 626 and four new Moto Mods,767344,10,5,0,0.00
"Nokia 6, Nokia 5, Nokia 3 to receive Android O update, confirms HMD Global",216996,10,10,0,0.00
"Nokia 6, Nokia 5, Nokia 3 to receive Android O update, confirms HMD Global",2902540,10,5,0,0.00
"Nokia 9 spotted on Geekbench with 6GB RAM, Android 7.1 Nougat",216996,10,10,0,0.00
"Nokia 9 with Snapdragon 835, 4GB RAM spotted on Antutu",6929963,10,5,0,0.00
"OnePlus 5 will feature 8GB RAM, reveals Amazon Indias page code",1203432,10,5,0,0.00
Reliance Jios 4G VoLTE-enabled feature phones to launch soon: Report,3702338,10,10,0,0.00
"Samsung Carnival on Amazon: Top deals on On8, C7 Pro, On5 Pro and more smartphones",3702338,10,5,0,0.00
"Samsung Galaxy C10 leaked again with dual rear camera, Bixby button",216996,10,5,0,0.00
"Samsung Galaxy S8+ with 6GB RAM, 128GB storage launched in India",6906499,10,5,0,0.00
"Samsung to invest nearly Rs 5 cr to expand its Noida unit, will create 15,000 jobs",6973683,10,5,0,0.00
YU Yureka Black launched in India: How it stacks up against Xiaomis Redmi 4,2388658,10,5,0,0.00
"36 whales wash up on west coast in 2 years, global scientists worry",1957050,5,5,0,0.00
"36 whales wash up on west coast in 2 years, global scientists worry",4174874,5,5,0,0.00
"36 whales wash up on west coast in 2 years, global scientists worry",6968193,5,5,0,0.00
A manageable liquid store for hydrogen,1957050,5,5,0,0.00
About 82 per cent customers use Reliance Jio as secondary SIM: Study,6448883,5,5,0,0.00
Alcatel eyes $10 million revenue from tablet PC segment,7015481,5,5,0,0.00
"Android creator Andy Rubins Essential smartphone, home device unveiled",3118048,5,5,0,0.00
Android creator Andy Rubins Essential smartphone: Everything you need to know,216996,5,5,0,0.00
Android creator Andy Rubins Essential smartphone: Everything you need to know,3118048,5,5,0,0.00
Andy Rubin's Essential sued for infringing intellectual property rights,5971977,5,5,0,0.00
"Andy Rubins Essential looking to make Google Glass-like smart glasses, reveals patent",6932751,5,5,0,0.00
"Andy Rubins Essential PH-1 smartphone: How it stacks against Apple iPhone 7 Plus, Galaxy S8+",6471989,5,5,0,0.00
Apple iOS 11: Volume display moved to the top right,216996,5,5,0,0.00
"Apple iPhone 7s series to have wireless charging, waterproof design: Report",5621017,5,5,0,0.00
"Apple iPhone 8 leaked: New schematics, size compared with Samsung Galaxy S8, S8+",1748814,5,5,0,0.00
"Apple iPhone 8 leaked: New schematics, size compared with Samsung Galaxy S8, S8+",5159159,5,5,0,0.00
"Apple iPhone 8 leaked: New schematics, size compared with Samsung Galaxy S8, S8+",5972891,5,5,0,0.00
"Apple iPhone 8 leaked: New schematics, size compared with Samsung Galaxy S8, S8+",6883719,5,5,0,0.00
"Apple iPhone 8 leaks: New schematics, size compared with Samsung Galaxy S8, S8+",845374,5,5,0,0.00
Apple iPhone 8 renders running iOS 11 leaked,5359187,5,5,0,0.00
"Apple is working on self-driving cars, confirms CEO Tim Cook",2320072,5,5,0,0.00
Apple opens its first SE Asia store in Singapore,6471989,5,5,0,0.00
Apple strengthens video expertise with hiring of YouTube alumnus,6448883,5,5,0,0.00
"Apple WWDC 2017 highlights: Siri, HomePod, iOS 11, and more",6949477,5,5,0,0.00
"Apple WWDC 2017: App Store redesigned in iOS 11, and heres what changes",6901633,5,5,0,0.00
Apple WWDC 2017: Everything to be announced,216996,5,5,0,0.00
Apple WWDC 2017: Everything to be announced,6935989,5,5,0,0.00
"Apple WWDC 2017: Not just about software, but new hardware is also coming",1167198,5,5,0,0.00
"Apple WWDC 2017: Siri speaker is coming, to take on Google Home, Amazon Echo",6883719,5,5,0,0.00
"Apple WWDC 2017: Siri speaker is coming, to take on Google Home, Amazon Echo",6906499,5,5,0,0.00
"Apple WWDC 2017: Too many new things, but Cupertinos focus is clear",1616856,5,5,0,0.00
"Apple WWDC 2017: Too many new things, but Cupertinos focus is clear",6946371,5,5,0,0.00
"Apples first TV series Planet of apps starts, will show what it takes to make an app",6858447,5,5,0,0.00
Apples HomePod speaker pumps up the volume on tech rivals,1616856,5,5,0,0.00
"Apples new 10.5-inch iPad Pro, updated 12.9-inch iPad price in India revealed",1203432,5,5,0,0.00
"Apples new iPad Pro models outperform MacBook Pro, benchmarks reveal",7014757,5,5,0,0.00
Asus ZenFone AR with Tango and Daydream support to launch in the US in July,216996,5,5,0,0.00
Asus Zenfone Live review: For the love of live video,216996,5,5,0,0.00
"Bethesda at E3 2017: Evil Within 2, Wolfenstein 2, Fallout 4 VR, and other announcements",248126,5,5,0,0.00
Beware! WhatsApp asking users to pay for service is a scam,3678988,5,5,0,0.00
