# ----------------------------------------
# All Mobile App Data
# Top Events
# 20170620-20170710
# ----------------------------------------

Event Label,Customer User Id,Total Events,Unique Events,Event Value,Avg. Value
India suffer comprehensive 3-1 defeat to Netherlands,727564,27,5,0,0.00
Shikhar Dhawan posts inside video of Indias gym session,7054343,18,5,0,0.00
"India v West Indies, 5th ODI: After landmark hundred, older Virat celebrates like Virat of the old",302210,14,5,0,0.00
India vs West Indies: Virat Kohli hints at giving Rishabh Pant a chance in third ODI,7028929,14,9,0,0.00
Virender Sehwag wishes Dale Steyn Gun on birthday,5092227,14,5,0,0.00
"Wimbledon 2017: Rafael Nadal bumps his head in the hallway, watch video",4849419,14,5,0,0.00
A perfect script for Virat Kohlis 2019 World Cup plot being written in West Indies,7049943,9,5,0,0.00
Anju Bobby George asks Indian athletes to compete more in global events,302210,9,5,0,0.00
"Bangladesh spinner Abdur Razzak suffers car accident, out of danger",3816084,9,5,0,0.00
BCCI non-committal on availability of players for Pakistan vs World XI,1992076,9,5,0,0.00
Chile crush Portugal on penalties to reach Confederations Cup final,7042871,9,5,0,0.00
Crickets long-standing debate: Coach or Captain?,7028929,9,9,0,0.00
Cristiano Ronaldo sets Portugal on way to Confederations Cup semi-final,7017931,9,5,0,0.00
England vs South Africa 2nd T20I Preview: South Africa seek to return to winning ways,3198164,9,5,0,0.00
"England vs South Africa, 1st Test Preview: Hosts have the upper hand over Faf-less Proteas",6988339,9,5,0,0.00
FIFA warns Mexico over insulting chants at Confederations Cup in Russia,7028275,9,9,0,0.00
I am still waiting for a rematch with AB de Villiers: Kevin Anderson,7106395,9,5,0,0.00
"ICC Womens World Cup 2017 Points Table, Standings, Team Standings, Net Run Rate",1085358,9,5,0,0.00
ICC Womens World Cup 2017: New Zealands Sophie Devine becomes first woman to slam nine sixes in an ODI innings,3304722,9,5,0,0.00
"ICC Womens World Cup 2017: Smriti Mandhanas ton, spinners thump West Indies",5645097,9,5,0,0.00
"India beat hapless West Indies by 93 runs, take 2-0 lead in series",5361257,9,5,0,0.00
India vs West Indies Live Score 1st ODI: India surge against West Indies,3790278,9,5,0,0.00
