# ----------------------------------------
# All Mobile App Data
# Top Events
# 20170601-20170618
# ----------------------------------------

Event Label,Customer User Id,Total Events,Unique Events,Event Value,Avg. Value
"ICC Champions Trophy 2017: Bat sensors, drones to enhance viewers experience",3816084,20,5,0,0.00
England send Australia out of Champions Trophy 2017: Who said what on Twitter,1129334,15,5,0,0.00
ICC Champions Trophy 2017: Bangladesh hope to shed baggage,3304722,15,5,0,0.00
"India vs Bangladesh, ICC Champions Trophy 2017: Virat Kohli expresses unhappiness after MS Dhoni concedes five runs, watch video",6735549,15,5,0,0.00
Amir Khans Super Boxing League announces captains for eight franchises,3892830,10,5,0,0.00
Cristiano Ronaldo denies tax evasion of 14.7 million,6831543,10,5,0,0.00
"England vs Australia, live cricket score, ICC Champions Trophy 2017: Australia set target of 278 for England to chase",5795063,10,5,0,0.00
"England vs New Zealand, Champions Trophy: It feels good to be in the semis but we are not satisfied, says Eoin Morgan",2470054,10,5,0,0.00
"England vs New Zealand, ICC Champions Trophy 2017: Eoin Morgan says England completely different since 2015 World Cup",6942087,10,5,0,0.00
England vs Pakistan semi-final: Pakistan knock England out with power punch,6043821,10,5,0,0.00
"England vs Pakistan, semi-final: Five players to watch out for",5274601,10,10,0,0.00
"Federation Cup: Anu Rani leaves home behind, sets national record & earns ticket to London",727564,10,5,0,0.00
Florentino Perez closing in on third mandate as Real Madrid president,7004949,10,5,0,0.00
"French Open Live Score, Mens Final: Rafael Nadal wins tenth French Open title 6-2, 6-3, 6-1 against Stan Wawrinka",5594585,10,10,0,0.00
"ICC Champions Trophy 2017, England vs Bangladesh: First rumble in the jungle",871376,10,5,0,0.00
"ICC Champions Trophy 2017: Australia take the 'Bowling Bar' challenge to nail yorkers, watch video",2020760,10,5,0,0.00
"ICC Champions Trophy 2017: Battle between Steve Smith and Kane Williamson will be intriguing, says Mike Hussey",4805723,10,5,0,0.00
ICC Champions Trophy 2017: Duckworth-Lewis method and target calculations explained,1122412,10,5,0,0.00
"ICC Champions Trophy 2017: I take full responsibility for AB de Villiers run out, says Faf du Plessis",1717438,10,5,0,0.00
"ICC Champions Trophy 2017: India have a good chance to win, says Brett Lee",5361257,10,5,0,0.00
"ICC Champions Trophy 2017: MS Dhoni bowls in the nets prior to Pakistan blockbuster, watch video",6923589,10,5,0,0.00
"ICC Champions Trophy 2017: MS Dhoni bowls in the nets prior to Pakistan blockbuster, watch video",6925889,10,5,0,0.00
"ICC Champions Trophy 2017: MS Dhoni still defies the laws of physics while keeping wickets, watch videos",6985271,10,5,0,0.00
ICC Champions Trophy 2017: New Zealand players sweat it out in nets ahead of big clash with Australia; watch video,845374,10,5,0,0.00
ICC Champions Trophy 2017: Sri Lanka captain Upul Tharanga banned for two matches for serious over-rate offence,4129412,10,5,0,0.00
ICC Champions Trophy 2017: Sri Lanka show intent to turn the tables,6954439,10,5,0,0.00
ICC Champions Trophy 2017: Tamim takes fresh guard,3304722,10,5,0,0.00
ICC Champions Trophy 2017: Tamim takes fresh guard,4851375,10,5,0,0.00
"ICC Champions Trophy 2017: Vijay Goel to inaugurate Mega screens for semi-finals, final at Major Dhyan Chand National Stadium",6993829,10,5,0,0.00
ICC Champions Trophy: The possible starting XI of India and Pakistan,618892,10,5,0,0.00
India face Kyrgyzstan litmus test in AFC Asian Cup Qualifier,6985935,10,5,0,0.00
"India vs Bangladesh, ICC Champions Trophy 2017: Virat Kohli expresses unhappiness after MS Dhoni concedes five runs, watch video",6997477,10,5,0,0.00
"India vs Pakistan Final, ICC Champions Trophy 2017: Shikhar Dhawan has advice for Jasprit Bumrah ahead of crunch game",7013611,10,5,0,0.00
"India vs Pakistan, Champions Trophy 2017: Will rain interrupt play in Birmingham?",1458710,10,5,0,0.00
"India vs Pakistan, ICC Champions Trophy 2017 Final: In London today, crickets El Clasico",5468745,10,5,0,0.00
"India vs Pakistan, ICC Champions Trophy 2017 Final: Sourav Gangulys car surrounded by Pakistan fans; watch video",7002309,10,5,0,0.00
"India vs Pakistan, ICC Champions Trophy: Yuvraj Singh dedicates win to cancer survivors",4767305,10,5,0,0.00
"India vs South Africa, Champions Trophy 2017: Five things India must do to win the encounter",1129334,10,5,0,0.00
"India vs South Africa, ICC Champions Trophy: If the captain has confidence in you, he gives you full freedom, says Jasprit Bumrah",3304722,10,5,0,0.00
"India vs Sri Lanka Live Score, ICC Champions Trophy 2017: India given steady start by Rohit, Dhawan against Sri Lanka",5693087,10,10,0,0.00
"India vs Sri Lanka, ICC Champions Trophy 2017: Watch Virat Kohli and team practice ahead of the clash",5693087,10,5,0,0.00
"India vs Sri Lanka: Prolific yet perennially under scrutiny, Shikhar Dhawan is a paradox",6954439,10,5,0,0.00
"India, Pakistan apply final touches before ICC Champions Trophy 2017 final; watch videos",6821561,10,10,0,0.00
Indian pace bowlers can knock off any team in Champions Trophy: Ishant Sharma,2623918,10,5,0,0.00
"It wasnt C, insist ABD & Co",6968193,10,5,0,0.00
Its baffling to find my integrity has been questioned: Sunil Gavaskar hits back at Ramchandra Guha,993532,10,5,0,0.00
"MS Dhoni will make it through to the 2019 World Cup, says Stephen Fleming",3460442,10,5,0,0.00
MS Dhoni: An untold story,727564,10,10,0,0.00
Nigel Mansell sceptical of Mercedes underdogs claim,6961903,10,5,0,0.00
Rafael Nadal concedes just 35 games on the way to tenth French Open title: Key stats,5594585,10,10,0,0.00
Rafael Nadal creates history with 10th French Open title,5594585,10,10,0,0.00
Ramachandra Guha resigns from BCCIs panel of administrators,4204234,10,5,0,0.00
"Ramachandra Guhas resignation letter hints at Rahul Dravids conflict of interest, MS Dhoni getting Grade A contract",993532,10,5,0,0.00
"Ravindra Jadeja takes a rare photo of MS Dhoni and is happy about it, see pic",5795063,10,5,0,0.00
Real Madrid vs Juventus: 5 Conclusions from Champions League Final,2071454,10,5,0,0.00
"Rohit Sharma, Jasprit Bumrah rested for Indias tour of West Indies; Rishabh Pant, Kuldeep Yadav come in",1129334,10,5,0,0.00
Sam Stosur urges Margaret Court to stop comments about same-sex marriage,3375286,10,5,0,0.00
Sam Stosur urges Margaret Court to stop comments about same-sex marriage,6932189,10,5,0,0.00
"Shakib Al Hasan, Mahmudullah complete epic comeback, Bangladesh knock out New Zealand",2214018,10,5,0,0.00
"Shikhar Dhawan has lunch with Ajinkya Rahane, Rohit Sharma and families, see pic",871376,10,5,0,0.00
Shikhar Dhawan moves past Sourav Ganguly as Indias highest run-getter in Champions Trophy,6623843,10,5,0,0.00
Shikhar Dhawan overtakes Virat Kohli in BCCI gross revenue share,993532,10,5,0,0.00
"Sri Lanka need to come up with concrete plan, says Roshan Mahanama",6995675,10,5,0,0.00
"Under BCCIs rules, I was absolutely not under a conflict of interest: Rahul Dravid",4989663,10,5,0,0.00
"Virat Kohli backs Ravi Shastri as India coach, claims report",5795063,10,5,0,0.00
"Virat Kohli downplays rift, says no problem with coach Anil Kumble",5361257,10,5,0,0.00
"Was accused of racism: German pilot sends defamation notice to Harbhajan Singh, Jet Airways",2252536,10,5,0,0.00
When Virat Kohli empathized with AB de Villiers,6973727,10,5,0,0.00
When Virat Kohli empathized with AB de Villiers,6975687,10,5,0,0.00
Williams mark 40 years with Silverstone special,6931477,10,5,0,0.00
"2018 World Cup Qualifiers: China, Qatar face elimination as Iran look to Russia",6717075,5,5,0,0.00
"2018 World Cup qualifiers: Cristiano Ronaldo shines for Portugal, while Hugo Lloris dims French hopes",2180590,5,5,0,0.00
"2018 World Cup qualifiers: Cristiano Ronaldo shines for Portugal, while Hugo Lloris dims French hopes",6966595,5,5,0,0.00
"2018 World Cup qualifiers: Cristiano Ronaldo shines for Portugal, while Hugo Lloris dims French hopes",6970873,5,5,0,0.00
A knockout to the knockouts,6973931,5,5,0,0.00
A knockout to the knockouts,871376,5,5,0,0.00
"A look at top-five best ODI bowling figures after Rashid Khan rips apart West Indies batting, watch video",1129334,5,5,0,0.00
"A look at top-five best ODI bowling figures after Rashid Khan rips apart West Indies batting, watch video",2220142,5,5,0,0.00
AB de Villiers falls for first ever golden duck in his career,1030442,5,5,0,0.00
AB de Villiers falls for first ever golden duck in his career,2180590,5,5,0,0.00
"AB De Villiers run out was one of the turning points in the match, says Virat Kohli",3808638,5,5,0,0.00
"AB De Villiers run out was one of the turning points in the match, says Virat Kohli",5749785,5,5,0,0.00
AB de Villiers to lead South Africa in T20I series against England,4805723,5,5,0,0.00
AB de Villiers to lead South Africa in T20I series against England,993532,5,5,0,0.00
AFC accepted that century old clubs should be given due respect and diligence: Mohun Bagan,1030442,5,5,0,0.00
AFC accepted that century old clubs should be given due respect and diligence: Mohun Bagan,22,5,5,0,0.00
Afghanistan cancel friendly T20 matches against Pakistan,4805723,5,5,0,0.00
Afghanistan cancel friendly T20s with Pakistan in wake of tragic Kabul blast,2609410,5,5,0,0.00
Afghanistan cancel friendly T20s with Pakistan in wake of tragic Kabul blast,6925667,5,5,0,0.00
"After Edgbaston defeat, time's running out for Mickey Arthur",6950129,5,5,0,0.00
"After Edgbaston defeat, times running out for Mickey Arthur",2214018,5,5,0,0.00
"After Edgbaston defeat, times running out for Mickey Arthur",5361257,5,5,0,0.00
"After Edgbaston defeat, times running out for Mickey Arthur",6953413,5,5,0,0.00
"After Edgbaston defeat, times running out for Mickey Arthur",993532,5,5,0,0.00
"Ahead of World Cup, Russian hooligans face crackdown",6989261,5,5,0,0.00
"Alena Sharp tied for LPGA lead, despite calling penalty on herself",6971605,5,5,0,0.00
Ali: Floats and stings,2623918,5,5,0,0.00
Ali: Floats and stings,4805723,5,5,0,0.00
Ali: Floats and stings,6878593,5,5,0,0.00
Ali: Floats and stings,6989703,5,5,0,0.00
"Anand Mahindra gets emotional as Indias national anthem plays for first time at Formula E race, watch video",2351726,5,5,0,0.00
"Anand Mahindra gets emotional as Indias national anthem plays for first time at Formula E race, watch video",2566876,5,5,0,0.00
Andrea Dovizioso wins Catalonia GP to tighten MotoGP title fight,4585556,5,5,0,0.00
Angles Of Deception,6390531,5,5,0,0.00
Angles Of Deception,6982119,5,5,0,0.00
Angles Of Deception,6997945,5,5,0,0.00
Angles Of Deception,7006689,5,5,0,0.00
Angles Of Deception,7012079,5,5,0,0.00
"Anil Kumble cant have issues with anyone, says Harbhajan Singh",1093060,5,5,0,0.00
"Anil Kumble cant have issues with anyone, says Harbhajan Singh",1526142,5,5,0,0.00
"Anil Kumble cant have issues with anyone, says Harbhajan Singh",3113320,5,5,0,0.00
