# ----------------------------------------
# All Mobile App Data
# Top Events
# 20170620-20170710
# ----------------------------------------

Event Label,Customer User Id,Total Events,Unique Events,Event Value,Avg. Value
Britains new aircraft carrier a convenient target: Russia,6922707,9,5,0,0.00
No autopsy for US student detained by North Korea,3848448,9,5,0,0.00
15 bodies found after landslide buries scores in China,7007183,5,5,0,0.00
"A Mosul mosque in rubble, victim of militants destruction",7065125,5,5,0,0.00
Activists kept from gathering en masse for Istanbul Pride,7044985,5,5,0,0.00
Activists kept from gathering en masse for Istanbul Pride,7049943,5,5,0,0.00
AirAsia plane starts shaking like washing machine mid-flight,4443014,5,5,0,0.00
China plans to launch cargo service to Pakistan through PoK,7074061,5,5,0,0.00
Confirmation of Serbias first gay PM is thrown into doubt,7019339,5,5,0,0.00
Donald Trump high court pick Neil Gorsuch shows conservative credentials,7056975,5,5,0,0.00
Donald Trump pledges to act very strongly on North Korea missile threat,302210,5,5,0,0.00
Donald Trump says strategic patience with North Korea over,7073459,5,5,0,0.00
"Donald Trump talks tough on North Korea, but options limited",241582,5,5,0,0.00
Donald Trumps administration refers to Xi Jinping as President of Taiwan in official communique,302210,5,5,0,0.00
East Libyan forces claim control of central Benghazi neighbourhood,7044603,5,5,0,0.00
Egypt delivers fuel to ease Gaza electricity crisis,1119436,5,5,0,0.00
Egypt sentences 20 to death over killings of police,302210,5,5,0,0.00
Financial Action Task Force to take up Pakistan record of choking terror funds,302210,5,5,0,0.00
"G20 leaders commit to keep markets open, fight protectionism, unfair trade practices",2442648,5,5,0,0.00
"G20 Summit: From Trumps defiance over climate change to Ivankas unexpected move, heres how foreign media reported",5877843,5,5,0,0.00
Germany does not expect charged Turkish bodyguards to attend G20 summit,4443014,5,5,0,0.00
How Saudi Arabias expat dependent tax will affect Indian families,7032099,5,5,0,0.00
India must be taught the rules: Chinese daily on Sikkim faceoff,2869614,5,5,0,0.00
Iran calls missile attack on Syria militants a wider warning,7019339,5,5,0,0.00
Iran opens airspace to Qatar planes amid Saudi-led ban,7073917,5,5,0,0.00
"Iraq announces victory over Islamic State, claims recapture of Mosul",7111805,5,5,0,0.00
Iraqi commander says 300 IS fighters holed up in Mosul,7089699,5,5,0,0.00
Iraqi PM Haider al-Abadi congratulates troops on big victory in Mosul,22,5,5,0,0.00
Iraqi troops push to clear last Mosul ground of Islamic State militants,4294754,5,5,0,0.00
Ivanka Trump keeps quiet on fathers tweets assailing TV host,4111006,5,5,0,0.00
London council evacuates residents amid fire safety concerns,4953067,5,5,0,0.00
London tower block fire: Death toll rises to 80,2698420,5,5,0,0.00
Merkels conservatives widen lead three months before German vote,7054619,5,5,0,0.00
Merkels SPD rivals rally in search of German election rebound,4111006,5,5,0,0.00
Minnesota woman charged with manslaughter after YouTube video stunt goes wrong,2565930,5,5,0,0.00
Mosul battle to end in days as troops advance in Old City: Iraqi general,4443014,5,5,0,0.00
Myanmar releases nearly 70 more child soldiers: UNICEF,7028929,5,5,0,0.00
North Korea calls for execution of Park Geun-hye over assassination plot,4443014,5,5,0,0.00
Philippine troops declare 8-hour cease-fire in besieged city,6932789,5,5,0,0.00
Poll finds more adults in US trust CNN compared to Donald Trump,2406882,5,5,0,0.00
Putin says Trump was satisfied with his election meddling denials,7104641,5,5,0,0.00
Russian intelligence says Telegram app used in Saint Petersburg metro bombing,7027385,5,5,0,0.00
Saudi Arabia agrees to Iran consulates during Hajj: Irans Foreign Ministry,302210,5,5,0,0.00
"Saudi official says a security corporal killed, six wounded",7095447,5,5,0,0.00
"Seven attacks foiled in France in 2017, says Interior minister",7098993,5,5,0,0.00
South Africa-born lawyer Joel Joffe who defended Nelson Mandela dies,7026629,5,5,0,0.00
"South China floods kill 15, thousands evacuated",7073167,5,5,0,0.00
"Third night of G20 clashes between police, protesters",7107011,5,5,0,0.00
Trump draws strong criticism for assailing woman TV host in personal terms,4294754,5,5,0,0.00
Trump factor seen in naming of new Saudi crown prince,1243634,5,5,0,0.00
"Trump to speak with Xi Jinping, Shinzo Abe as North Korea, steel issues loom",2335382,5,5,0,0.00
Two U.S. bombers hold firing drills with South Korean forces,2442648,5,5,0,0.00
UK attack suspect not terrorist but someone with problems: mother,2485338,5,5,0,0.00
UK school offers uniform hijabs for Muslim pupils,727564,5,5,0,0.00
Ukraine central bank says cyberattack hits lenders,7059413,5,5,0,0.00
Ukraine points finger at Russian security services in recent cyber attack,297182,5,5,0,0.00
US Army shoots Syrian jet: Russia and Iran draw new red lines,7023263,5,5,0,0.00
US confirms North Korea ICBM launch,2406882,5,5,0,0.00
"US isolated as India, other G20 members back Paris climate pact",2508134,5,5,0,0.00
US returns looted royal seals to South Korea,2956176,5,5,0,0.00
Watch video: Russian warships pound IS targets in Syria with cruise missiles,7031843,5,5,0,0.00
"We share German priorities, says Vladimir Putin ahead of G20 summit",327340,5,5,0,0.00
,,318,310,0,0.00

Day Index,Total Events
20/06/2017,741
21/06/2017,721
22/06/2017,663
23/06/2017,579
24/06/2017,726
25/06/2017,637
26/06/2017,692
27/06/2017,654
28/06/2017,689
29/06/2017,641
30/06/2017,603
01/07/2017,610
02/07/2017,717
03/07/2017,686
04/07/2017,484
05/07/2017,606
06/07/2017,560
07/07/2017,639
08/07/2017,611
09/07/2017,652
10/07/2017,558
,"13,469"
