# ----------------------------------------
# All Mobile App Data
# Top Events
# 20170601-20170618
# ----------------------------------------

Event Label,Customer User Id,Total Events,Unique Events,Event Value,Avg. Value
"Blast at US embassy in Ukraine, police calls it a terrorist act",2565930,10,5,0,0.00
Iran attacks: Watch videos of parliament shooting,6543659,10,5,0,0.00
Jeff Sessions to appear before Senate intelligence committee,6978085,10,5,0,0.00
London fire may have destroyed DNA needed to identify victims,7004023,10,5,0,0.00
South Korea to freeze new THAAD deployment pending probe,6956157,10,5,0,0.00
10 pilgrims dead in Russia bus crash,6968193,5,5,0,0.00
100 per cent willing to testify over James Comey conversations: Donald Trump,6971753,5,5,0,0.00
"2016 Orlando nightclub shooting: Half-staff flags, bells to mark one-year anniversary",6974427,5,5,0,0.00
27 dead as Yemen army closes in on Taez palace,6825049,5,5,0,0.00
484 civilians killed in US-led fight against Islamic State: Pentagon,6932751,5,5,0,0.00
"Afghan commando kills three US soldiers, Taliban claim responsibility for insider attack",5199771,5,5,0,0.00
"After cutting diplomatic ties, Gulf states announce hotlines for mixed Qatari families",6978085,5,5,0,0.00
Ailing white tiger put down in Singapore Zoo,6963035,5,5,0,0.00
"At impasse, Bill Cosby jury tests patience of judge, defense",4443014,5,5,0,0.00
"Australia must do more to protect reef, UNESCO says",6800655,5,5,0,0.00
British PM Theresa May visits Swaminarayan Mandir,1725350,5,5,0,0.00
British police makes fresh arrest over Manchester bombing,6825049,5,5,0,0.00
China-India border tension remains despite growing economic ties: US,6543659,5,5,0,0.00
Clean Energy Ministerial Conference: US bucks trend amid increases for clean energy research,1526142,5,5,0,0.00
"Despite losing majority, Theresa May to form next govt that will lead Britain through Brexit talks",6967895,5,5,0,0.00
Donald Trump accepts he is under probe for firing FBI Director James Comey,7007183,5,5,0,0.00
Donald Trump pulls US out of Paris Climate Agreement: Heres the full text of his statement,2565930,5,5,0,0.00
Donald Trump pulls US out of Paris Climate Agreement: Heres the full text of his statement,598070,5,5,0,0.00
Donald Trumps withdrawal from Paris accord global setback: China state media,2565930,5,5,0,0.00
Fact Check: Donald Trumps shaky claims on climate accord,6760737,5,5,0,0.00
Former FBI director James Comey says President Trump fired him to undermine FBI Russia investigation,6963035,5,5,0,0.00
"Germany train station shooting: Police officer, others injured in Munich attack",6990527,5,5,0,0.00
"Germany train station shooting: Several injured in Munich attack, one person arrested",6988503,5,5,0,0.00
Germany will allow protests at G20: Answer is in conversation,6928437,5,5,0,0.00
Guatemala rescues 22 children from forced labour police,6926149,5,5,0,0.00
Half-tonne of gold seized from top jeweller in Bangladesh,1725350,5,5,0,0.00
Half-tonne of gold seized from top jeweller in Bangladesh,6935989,5,5,0,0.00
Hamas rejects IS claim of fatal stabbing of Israeli policewoman,4443014,5,5,0,0.00
Indian-origin gay leader Leo Varadkar set to be Irelands youngest PM,221642,5,5,0,0.00
"Iran attacks: Guard killed, several injured in firing at Parliament, shrine of Ayatollah Khomeini",3115964,5,5,0,0.00
"Islamist militants strike heart of Tehran, Iran blames Saudis",6957071,5,5,0,0.00
Its official: The Obamas are Washington homeowners,1725350,5,5,0,0.00
Its official: The Obamas are Washington homeowners,6923957,5,5,0,0.00
Japan launches satellite for high-precision positioning system,2705974,5,5,0,0.00
Japans parliament passes historic law to allow 83-year-old Emperor Akihito to abdicate,3326476,5,5,0,0.00
"Knifeman holds several people hostage at job centre in northeast England, no injuries reported as yet",6924787,5,5,0,0.00
"Landslides, flooding kill 147 people in Bangladesh",2562552,5,5,0,0.00
Letter drafted by ISIS militant manifests power struggle within Khorasan,3115964,5,5,0,0.00
"London Bridge Attack: Militants drive van into people on London Bridge, stab others",6854059,5,5,0,0.00
"London terror attack: 7 killed, 12 arrested; PM May says enough is enough",1725350,5,5,0,0.00
"London terror attack: PM Narendra Modi expresses shock, condemns it",6825049,5,5,0,0.00
London terror incidents: Mayor Sadiq Khan condemns deliberate and cowardly attack,6825049,5,5,0,0.00
Megyn Kelly should have done her homework,2565930,5,5,0,0.00
Megyn Kelly should have done her homework,5760837,5,5,0,0.00
Militants cling to 20 per cent of Philippines town after three-week siege,6987099,5,5,0,0.00
Militants cling to 20 per cent of Philippines town after three-week siege,6990527,5,5,0,0.00
North Korea fires suspected surface-to-ship cruise missiles after US drills,5972761,5,5,0,0.00
Notre Dame attacker pledges allegiance to Islamic State in a video: Reports,6543659,5,5,0,0.00
Nuclear-wary Japan restarts another atomic reactor,1725350,5,5,0,0.00
Odds favour PM Theresa Mays win as voting set to begin in United Kingdom,172950,5,5,0,0.00
OIC expresses solidarity with Lankan Muslims,6956157,5,5,0,0.00
"Pakistan Army destroys ISIS infrastructure, kills 12 terrorists",6961441,5,5,0,0.00
Pakistan sentences man to death for blasphemy on Facebook,3115964,5,5,0,0.00
Peru opposition lawmakers ask finance minister Alfredo Thorne to resign,7004023,5,5,0,0.00
Philippine airstrike kills accidentally 11 soldiers in besieged city,6483847,5,5,0,0.00
Saudi foreign minister says working on list of Qatar grievances,6735549,5,5,0,0.00
Saudi foreign minister says working on list of Qatar grievances,7004023,5,5,0,0.00
Senator Warner says any Trump attempt to quash Russia probe would be appalling,6520779,5,5,0,0.00
Singapore detains woman after she planned to join ISIS,6974427,5,5,0,0.00
Some people hatching conspiracies against my government: Pak PM Nawaz Sharif,6935117,5,5,0,0.00
South Korea says anti-missile deployment on hold pending environmental review,6917087,5,5,0,0.00
Sudan urges reconciliation to end Gulf row with Qatar,993532,5,5,0,0.00
Theresa May urged to take tougher line against Donald Trump on climate,6931731,5,5,0,0.00
Timeline: North Korean missiles a test for new South Korean President Moon Jae-in,6959155,5,5,0,0.00
Top Merkel aide rejects Donald Trumps call to renegotiate Paris climate deal,6922527,5,5,0,0.00
"Turkey, Greek island hit by earthquake of 6.3 magnitude",6942677,5,5,0,0.00
US investigators helping Qatar probe alleged agency website hacking,6926429,5,5,0,0.00
"US to withdraw from Paris Climate agreement, President Donald Trump says in interest of American citizens",2458702,5,5,0,0.00
"Watch Video: Donald Trump does a Barack Obama, crashes wedding reception",2485338,5,5,0,0.00
Who might be UK finance minister after next weeks election?,6931599,5,5,0,0.00
"Woman assaulted, hijab ripped off in hate crime in UK",6978085,5,5,0,0.00
Xinhua sets up USD 1 mn fund to boost BRICS media cooperation,22,5,5,0,0.00
Yemen rebels reject UN envoy as mediator in conflict,993532,5,5,0,0.00
,,415,390,0,0.00

Day Index,Total Events
01/06/2017,885
02/06/2017,"1,120"
03/06/2017,884
04/06/2017,792
05/06/2017,806
06/06/2017,847
07/06/2017,857
08/06/2017,917
09/06/2017,937
10/06/2017,905
11/06/2017,795
12/06/2017,863
13/06/2017,802
14/06/2017,745
15/06/2017,695
16/06/2017,771
17/06/2017,741
18/06/2017,718
,"15,080"
