USERID	Entertainment	Health	News	Sports	Lifestyle

6938025	1	0	0	0	0
6891413	1	0	1	0	0
2136528	48	1	0	0	0
3480988	7	0	0	0	0
6430225	2	1	0	0	0
4634524	7	0	0	0	0
55298	51	0	0	0	0
2452276	5	0	0	0	0
2035516	7	0	1	0	0
5027887	0	0	1	0	0
262296	8	0	0	0	0
6485459	1	0	0	0	0
213578	11	0	7	1	0
6671859	1	0	2	0	0
2705094	4	1	2	1	0
189592	3	0	0	0	0
4698127	2	0	0	0	0
3448934	16	0	0	0	0
4027222	1	0	0	0	0
6348797	1	0	0	0	0
2148870	1	0	0	0	0
869200	1	0	0	0	0
4209892	1	0	2	0	0
6957635	4	0	0	1	0
3361894	2	0	2	2	0
7001015	1	0	0	0	0
3843262	0	0	1	0	0
6946471	0	0	2	0	0
323278	3	0	0	0	0
5310029	3	0	0	0	0
3872950	0	0	1	0	0
3831968	5	0	0	0	0
6995553	0	1	3	0	0
2473686	0	0	0	1	0
5547581	1	0	1	1	0
6937285	1	0	0	0	0
6071581	1	0	0	0	0
4147930	3	0	1	3	0
2253570	6	0	2	1	0
4842677	1	0	0	1	0
6946783	1	0	0	0	0
5534195	2	0	0	0	0
5978101	0	0	0	0	0
6879057	0	0	0	1	0
6480779	1	0	0	0	0
6969255	4	0	0	0	0
883182	0	1	0	0	0
5466921	24	0	8	1	0
1777928	1	0	0	0	0
5957033	1	0	0	0	0
2119624	3	0	0	0	0
12014	3	0	0	0	0
473316	3	0	0	0	0
1221940	1	0	0	0	0
686588	2	0	1	0	0
6036881	7	1	4	0	0
754396	10	0	0	0	0
6974137	5	0	0	0	0
3601336	1	0	0	0	0
6966997	1	0	0	0	0
4337870	1	0	0	0	0
682800	4	0	0	2	0
3418828	2	0	0	0	0
5627509	2	0	0	0	0
7012645	0	0	1	0	0
6276637	0	0	0	0	0
6947257	0	1	0	0	0
6983451	2	0	0	1	0
6177309	7	0	4	1	0
4858515	5	0	1	0	0
315388	16	0	0	0	0
2537674	10	1	3	1	0
6947781	1	0	0	0	0
2220154	13	0	6	1	0
2269546	6	0	2	1	0
4930435	1	1	0	0	0
3656050	8	0	3	1	0
4693939	2	0	1	0	0
4523522	2	0	0	0	0
5910083	1	0	0	0	0
3642794	1	0	0	0	0
3818112	2	0	0	0	0
514918	4	0	0	0	0
1547080	0	0	1	0	0
6374125	1	0	1	0	0
6999793	3	0	0	0	0
7000877	1	0	0	0	0
3804430	1	0	0	0	0
1636418	8	0	1	0	0
6995975	1	0	0	0	0
4443014	3	1	1	0	0
6981917	0	0	0	1	0
6933051	0	0	1	0	0
6153301	0	0	1	0	0
2581262	1	0	0	0	0
6995045	1	0	0	0	0
1382228	16	0	0	0	0
2785614	3	0	0	0	0
6973391	1	0	0	0	0
2060236	2	0	0	0	0
6983047	0	0	1	1	0
6246925	1	0	0	0	0
1268356	7	0	0	0	0
6983049	1	0	0	0	0
1748950	2	0	0	0	0
5983675	2	1	0	0	0
1763966	1	0	0	0	0
5830397	15	0	0	0	0
6128347	5	0	0	0	0
5429459	23	0	0	0	0
6844599	2	0	0	0	0
6639335	1	0	1	0	0
6957455	3	0	0	0	0
5613339	1	0	0	0	0
5490983	2	0	0	0	0
2386502	31	0	6	3	1
3924080	17	0	0	0	0
232006	2	0	2	1	0
6244079	1	0	0	0	0
1606642	0	0	2	0	0
6539135	2	0	0	0	0
3897530	5	0	3	1	0
